          Teff = 3500 K,  log g = 0.0,  [M/H] = -2.5

 bolo   0.431 (0.0786)    0.586  0.232 (0.0124)    0.082  0.581 (0.0012)
  u     0.672 (0.0017)    0.670 -0.002 (0.0021)    0.675 -0.006 (0.0022)
  v     0.684 (0.0089)    0.657 -0.041 (0.0069)    0.745 -0.101 (0.0087)
  b     0.719 (0.0321)    0.630 -0.134 (0.0172)    0.920 -0.335 (0.0234)
  y     0.765 (0.0505)    0.633 -0.198 (0.0195)    1.061 -0.494 (0.0288)
  U     0.677 (0.0023)    0.672 -0.007 (0.0034)    0.687 -0.018 (0.0037)
  B     0.722 (0.0309)    0.637 -0.128 (0.0160)    0.915 -0.321 (0.0219)
  V     0.762 (0.0468)    0.640 -0.182 (0.0176)    1.034 -0.455 (0.0262)
  R     0.704 (0.0092)    0.686 -0.028 (0.0093)    0.745 -0.069 (0.0107)
  I     0.598 (0.0379)    0.679  0.121 (0.0035)    0.417  0.302 (0.0034)
  J     0.468 (0.0798)    0.635  0.251 (0.0053)    0.091  0.628 (0.0069)
  K     0.271 (0.1205)    0.499  0.342 (0.0256)   -0.241  0.854 (0.0091)
  L     0.202 (0.0917)    0.375  0.259 (0.0195)   -0.187  0.649 (0.0070)
  M     0.176 (0.0587)    0.287  0.168 (0.0128)   -0.076  0.419 (0.0049)
  N     0.123 (0.0417)    0.202  0.119 (0.0090)   -0.056  0.298 (0.0034)
  Rc    0.727 (0.0200)    0.677 -0.075 (0.0113)    0.840 -0.188 (0.0149)
  Ic    0.650 (0.0208)    0.692  0.063 (0.0046)    0.555  0.159 (0.0027)
 230    0.949 (0.0982)    0.719 -0.345 (0.0115)    1.466 -0.862 (0.0276)
 250    0.987 (0.1035)    0.739 -0.372 (0.0173)    1.546 -0.931 (0.0347)
 270    0.922 (0.0836)    0.724 -0.298 (0.0131)    1.369 -0.744 (0.0272)
 290    0.850 (0.0567)    0.719 -0.197 (0.0067)    1.145 -0.491 (0.0161)
 310    0.741 (0.0219)    0.692 -0.074 (0.0021)    0.853 -0.186 (0.0057)
