          Teff = 3500 K,  log g = 0.0,  [M/H] = +0.1

 bolo   0.485 (0.0681)    0.610  0.187 (0.0177)    0.205  0.466 (0.0088)
  u     0.678 (0.0854)    0.832  0.231 (0.0216)    0.331  0.578 (0.0106)
  v     0.880 (0.0503)    0.735 -0.217 (0.0365)    1.205 -0.541 (0.0466)
  b     1.095 (0.1189)    0.790 -0.457 (0.0410)    1.780 -1.142 (0.0627)
  y     0.993 (0.0661)    0.819 -0.261 (0.0320)    1.384 -0.652 (0.0445)
  U     0.714 (0.0639)    0.812  0.147 (0.0260)    0.494  0.367 (0.0190)
  B     1.034 (0.0979)    0.777 -0.385 (0.0402)    1.612 -0.964 (0.0585)
  V     0.976 (0.0588)    0.820 -0.234 (0.0314)    1.328 -0.586 (0.0427)
  R     0.829 (0.0242)    0.803 -0.039 (0.0298)    0.887 -0.097 (0.0316)
  I     0.628 (0.0580)    0.717  0.134 (0.0258)    0.427  0.334 (0.0193)
  J     0.489 (0.0576)    0.598  0.163 (0.0137)    0.245  0.408 (0.0061)
  K     0.324 (0.1069)    0.534  0.315 (0.0171)   -0.148  0.787 (0.0019)
  L     0.241 (0.0770)    0.390  0.224 (0.0139)   -0.094  0.559 (0.0032)
  M     0.152 (0.0640)    0.264  0.168 (0.0206)   -0.100  0.420 (0.0127)
  N     0.116 (0.0367)    0.182  0.100 (0.0100)   -0.034  0.250 (0.0053)
  Rc    0.885 (0.0273)    0.819 -0.098 (0.0296)    1.032 -0.246 (0.0344)
  Ic    0.709 (0.0485)    0.770  0.091 (0.0283)    0.572  0.228 (0.0239)
 230    1.004 (0.0026)    0.998 -0.009 (0.0004)    1.018 -0.022 (0.0008)
 250    0.940 (0.0325)    1.016  0.114 (0.0045)    0.769  0.285 (0.0099)
 270    0.834 (0.0795)    1.007  0.260 (0.0016)    0.444  0.650 (0.0139)
 290    0.755 (0.1082)    0.981  0.340 (0.0059)    0.245  0.850 (0.0109)
 310    0.669 (0.1198)    0.908  0.359 (0.0161)    0.131  0.897 (0.0015)
 330    0.641 (0.1073)    0.850  0.313 (0.0184)    0.172  0.782 (0.0034)
 TyB    1.004 (0.0918)    0.760 -0.366 (0.0401)    1.553 -0.914 (0.0574)
 TyV    0.991 (0.0666)    0.815 -0.264 (0.0331)    1.388 -0.661 (0.0458)
 HIP    0.943 (0.0484)    0.813 -0.196 (0.0322)    1.237 -0.490 (0.0416)
 858    0.676 (0.0592)    0.757  0.121 (0.0315)    0.494  0.304 (0.0257)


          Teff = 3500 K,  log g = 0.5,  [M/H] = +0.1

 bolo   0.477 (0.0688)    0.602  0.188 (0.0183)    0.195  0.469 (0.0093)
  u     0.700 (0.0753)    0.827  0.190 (0.0242)    0.414  0.476 (0.0152)
  v     0.915 (0.0601)    0.746 -0.254 (0.0381)    1.297 -0.636 (0.0500)
  b     1.115 (0.1212)    0.805 -0.465 (0.0406)    1.812 -1.162 (0.0627)
  y     0.995 (0.0650)    0.823 -0.258 (0.0323)    1.382 -0.646 (0.0447)
  U     0.747 (0.0504)    0.807  0.091 (0.0287)    0.610  0.227 (0.0244)
  B     1.045 (0.0973)    0.789 -0.383 (0.0399)    1.620 -0.958 (0.0581)
  V     0.978 (0.0585)    0.822 -0.234 (0.0318)    1.329 -0.585 (0.0430)
  R     0.818 (0.0255)    0.791 -0.041 (0.0315)    0.880 -0.103 (0.0334)
  I     0.619 (0.0590)    0.709  0.135 (0.0267)    0.417  0.337 (0.0202)
  J     0.479 (0.0584)    0.588  0.163 (0.0150)    0.235  0.407 (0.0074)
  K     0.322 (0.1057)    0.529  0.311 (0.0170)   -0.145  0.778 (0.0020)
  L     0.238 (0.0747)    0.383  0.218 (0.0133)   -0.088  0.544 (0.0029)
  M     0.145 (0.0623)    0.253  0.163 (0.0204)   -0.100  0.407 (0.0127)
  N     0.112 (0.0358)    0.177  0.097 (0.0098)   -0.034  0.243 (0.0052)
  Rc    0.878 (0.0289)    0.808 -0.106 (0.0313)    1.037 -0.264 (0.0364)
  Ic    0.700 (0.0490)    0.759  0.089 (0.0295)    0.566  0.223 (0.0252)
 230    0.994 (0.0035)    1.003  0.013 (0.0010)    0.974  0.033 (0.0016)
 250    0.918 (0.0436)    1.018  0.150 (0.0047)    0.692  0.376 (0.0119)
 270    0.810 (0.0899)    1.004  0.291 (0.0013)    0.373  0.728 (0.0141)
 290    0.733 (0.1158)    0.973  0.360 (0.0083)    0.193  0.899 (0.0095)
 310    0.661 (0.1212)    0.901  0.359 (0.0181)    0.122  0.898 (0.0011)
 330    0.646 (0.1042)    0.845  0.299 (0.0202)    0.198  0.746 (0.0059)
 TyB    1.022 (0.0925)    0.777 -0.368 (0.0397)    1.573 -0.919 (0.0571)
 TyV    0.994 (0.0661)    0.818 -0.263 (0.0334)    1.389 -0.658 (0.0460)
 HIP    0.945 (0.0500)    0.809 -0.203 (0.0333)    1.250 -0.508 (0.0430)
 858    0.668 (0.0564)    0.738  0.104 (0.0338)    0.513  0.260 (0.0289)


          Teff = 3500 K,  log g = 1.0,  [M/H] = +0.1

 bolo   0.468 (0.0699)    0.595  0.190 (0.0187)    0.183  0.476 (0.0096)
  u     0.728 (0.0631)    0.824  0.143 (0.0260)    0.513  0.359 (0.0192)
  v     0.939 (0.0641)    0.760 -0.268 (0.0383)    1.342 -0.671 (0.0509)
  b     1.127 (0.1222)    0.815 -0.468 (0.0403)    1.829 -1.170 (0.0625)
  y     0.994 (0.0637)    0.824 -0.254 (0.0325)    1.376 -0.636 (0.0446)
  U     0.779 (0.0388)    0.807  0.042 (0.0303)    0.716  0.104 (0.0283)
  B     1.049 (0.0944)    0.800 -0.373 (0.0393)    1.608 -0.932 (0.0569)
  V     0.976 (0.0579)    0.821 -0.233 (0.0322)    1.326 -0.582 (0.0433)
  R     0.805 (0.0268)    0.779 -0.038 (0.0328)    0.862 -0.096 (0.0346)
  I     0.612 (0.0605)    0.704  0.138 (0.0271)    0.405  0.345 (0.0205)
  J     0.471 (0.0599)    0.581  0.165 (0.0163)    0.223  0.412 (0.0085)
  K     0.320 (0.1042)    0.525  0.307 (0.0167)   -0.141  0.768 (0.0019)
  L     0.236 (0.0729)    0.378  0.212 (0.0131)   -0.082  0.530 (0.0029)
  M     0.137 (0.0600)    0.241  0.156 (0.0199)   -0.098  0.391 (0.0125)
  N     0.109 (0.0357)    0.174  0.097 (0.0099)   -0.036  0.242 (0.0053)
  Rc    0.869 (0.0297)    0.797 -0.108 (0.0328)    1.031 -0.270 (0.0380)
  Ic    0.690 (0.0501)    0.751  0.091 (0.0302)    0.554  0.227 (0.0258)
 230    0.987 (0.0077)    1.006  0.029 (0.0021)    0.943  0.073 (0.0035)
 250    0.893 (0.0560)    1.020  0.191 (0.0049)    0.607  0.477 (0.0141)
 270    0.785 (0.0999)    0.997  0.319 (0.0029)    0.306  0.797 (0.0133)
 290    0.715 (0.1201)    0.961  0.368 (0.0113)    0.164  0.920 (0.0070)
 310    0.662 (0.1180)    0.893  0.346 (0.0193)    0.143  0.866 (0.0027)
 330    0.663 (0.0958)    0.842  0.268 (0.0211)    0.261  0.671 (0.0083)
 TyB    1.030 (0.0897)    0.792 -0.357 (0.0388)    1.566 -0.892 (0.0557)
 TyV    0.992 (0.0649)    0.818 -0.260 (0.0337)    1.382 -0.650 (0.0461)
 HIP    0.943 (0.0504)    0.806 -0.206 (0.0341)    1.251 -0.514 (0.0440)
 858    0.656 (0.0560)    0.720  0.096 (0.0358)    0.513  0.239 (0.0312)


          Teff = 3500 K,  log g = 1.5,  [M/H] = +0.1

 bolo   0.461 (0.0715)    0.590  0.195 (0.0191)    0.169  0.487 (0.0097)
  u     0.760 (0.0516)    0.827  0.100 (0.0271)    0.610  0.250 (0.0224)
  v     0.953 (0.0631)    0.777 -0.264 (0.0378)    1.349 -0.660 (0.0502)
  b     1.134 (0.1225)    0.821 -0.470 (0.0401)    1.839 -1.174 (0.0624)
  y     0.991 (0.0620)    0.825 -0.249 (0.0325)    1.364 -0.622 (0.0444)
  U     0.806 (0.0316)    0.812  0.008 (0.0308)    0.794  0.021 (0.0304)
  B     1.048 (0.0902)    0.810 -0.358 (0.0384)    1.585 -0.894 (0.0553)
  V     0.973 (0.0568)    0.820 -0.230 (0.0325)    1.318 -0.574 (0.0435)
  R     0.792 (0.0286)    0.771 -0.030 (0.0340)    0.837 -0.076 (0.0355)
  I     0.606 (0.0626)    0.702  0.144 (0.0276)    0.390  0.360 (0.0207)
  J     0.463 (0.0623)    0.576  0.170 (0.0175)    0.208  0.426 (0.0094)
  K     0.319 (0.1029)    0.521  0.304 (0.0164)   -0.137  0.760 (0.0018)
  L     0.235 (0.0715)    0.373  0.208 (0.0131)   -0.077  0.519 (0.0031)
  M     0.130 (0.0579)    0.231  0.151 (0.0192)   -0.096  0.377 (0.0121)
