          Teff = 3500 K,  log g = 0.0,  [M/H] = -3.0

 bolo   0.409 (0.0830)    0.575  0.249 (0.0112)    0.036  0.622 (0.0011)
  u     0.651 (0.0056)    0.661  0.015 (0.0016)    0.629  0.038 (0.0009)
  v     0.654 (0.0049)    0.660  0.009 (0.0027)    0.642  0.021 (0.0024)
  b     0.666 (0.0091)    0.638 -0.041 (0.0094)    0.727 -0.103 (0.0113)
  y     0.707 (0.0281)    0.630 -0.116 (0.0144)    0.881 -0.289 (0.0198)
  U     0.652 (0.0068)    0.664  0.018 (0.0017)    0.624  0.046 (0.0008)
  B     0.671 (0.0098)    0.642 -0.044 (0.0091)    0.738 -0.111 (0.0112)
  V     0.709 (0.0273)    0.635 -0.111 (0.0133)    0.875 -0.277 (0.0185)
  R     0.675 (0.0050)    0.667 -0.013 (0.0053)    0.695 -0.032 (0.0059)
  I     0.583 (0.0399)    0.674  0.136 (0.0029)    0.379  0.341 (0.0089)
  J     0.445 (0.0894)    0.634  0.284 (0.0033)    0.018  0.711 (0.0105)
  K     0.256 (0.1213)    0.483  0.340 (0.0277)   -0.255  0.851 (0.0113)
  L     0.186 (0.0914)    0.354  0.252 (0.0228)   -0.192  0.629 (0.0106)
  M     0.173 (0.0654)    0.298  0.187 (0.0136)   -0.108  0.468 (0.0047)
  N     0.120 (0.0446)    0.207  0.130 (0.0085)   -0.075  0.325 (0.0025)
  Rc    0.693 (0.0135)    0.659 -0.052 (0.0078)    0.771 -0.129 (0.0102)
  Ic    0.633 (0.0194)    0.679  0.068 (0.0027)    0.531  0.170 (0.0049)
 230    1.059 (0.1875)    0.596 -0.695 (0.0423)    2.101 -1.737 (0.0747)
 250    0.974 (0.1276)    0.663 -0.466 (0.0262)    1.673 -1.166 (0.0481)
 270    0.863 (0.0770)    0.679 -0.276 (0.0139)    1.277 -0.691 (0.0271)
 290    0.782 (0.0425)    0.683 -0.149 (0.0065)    1.005 -0.372 (0.0136)
 310    0.700 (0.0133)    0.668 -0.047 (0.0032)    0.771 -0.118 (0.0055)
 330    0.660 (0.0019)    0.659 -0.002 (0.0021)    0.664 -0.006 (0.0022)
 TyB    0.657 (0.0041)    0.649 -0.012 (0.0059)    0.675 -0.029 (0.0064)
 TyV    0.705 (0.0258)    0.635 -0.105 (0.0130)    0.863 -0.264 (0.0180)
 HIP    0.695 (0.0164)    0.651 -0.065 (0.0092)    0.793 -0.163 (0.0123)
 858    0.592 (0.0392)    0.681  0.134 (0.0030)    0.391  0.335 (0.0085)


          Teff = 3500 K,  log g = 0.5,  [M/H] = -3.0

 bolo   0.402 (0.0838)    0.568  0.249 (0.0125)    0.028  0.623 (0.0007)
  u     0.651 (0.0065)    0.661  0.016 (0.0021)    0.627  0.040 (0.0014)
  v     0.676 (0.0068)    0.654 -0.032 (0.0071)    0.724 -0.080 (0.0085)
  b     0.710 (0.0297)    0.627 -0.124 (0.0154)    0.895 -0.309 (0.0211)
  y     0.743 (0.0429)    0.633 -0.166 (0.0151)    0.992 -0.414 (0.0229)
  U     0.658 (0.0048)    0.661  0.005 (0.0039)    0.651  0.011 (0.0037)
  B     0.710 (0.0275)    0.634 -0.114 (0.0141)    0.881 -0.285 (0.0193)
  V     0.738 (0.0385)    0.640 -0.147 (0.0131)    0.959 -0.369 (0.0201)
  R     0.668 (0.0051)    0.676  0.012 (0.0031)    0.650  0.031 (0.0027)
  I     0.562 (0.0488)    0.670  0.162 (0.0017)    0.319  0.405 (0.0083)
  J     0.428 (0.0902)    0.616  0.283 (0.0064)    0.004  0.706 (0.0073)
  K     0.247 (0.1234)    0.479  0.347 (0.0276)   -0.274  0.869 (0.0109)
  L     0.184 (0.0901)    0.352  0.251 (0.0206)   -0.193  0.629 (0.0085)
  M     0.172 (0.0630)    0.293  0.181 (0.0129)   -0.100  0.453 (0.0044)
  N     0.117 (0.0414)    0.196  0.119 (0.0088)   -0.062  0.297 (0.0033)
  Rc    0.693 (0.0099)    0.670 -0.035 (0.0047)    0.745 -0.087 (0.0064)
  Ic    0.612 (0.0305)    0.683  0.105 (0.0027)    0.454  0.264 (0.0071)
 230    1.172 (0.2082)    0.665 -0.761 (0.0423)    2.312 -1.901 (0.0780)
 250    0.995 (0.1223)    0.706 -0.433 (0.0189)    1.645 -1.083 (0.0396)
 270    0.856 (0.0632)    0.712 -0.215 (0.0065)    1.179 -0.538 (0.0168)
 290    0.762 (0.0266)    0.705 -0.086 (0.0018)    0.891 -0.214 (0.0052)
 310    0.689 (0.0046)    0.679 -0.014 (0.0011)    0.710 -0.036 (0.0016)
 330    0.652 (0.0056)    0.664  0.018 (0.0007)    0.624  0.046 (0.0009)
 TyB    0.689 (0.0166)    0.641 -0.073 (0.0110)    0.798 -0.181 (0.0143)
 TyV    0.737 (0.0383)    0.638 -0.148 (0.0136)    0.959 -0.370 (0.0206)
 HIP    0.707 (0.0196)    0.657 -0.075 (0.0079)    0.819 -0.187 (0.0115)
 858    0.568 (0.0492)    0.676  0.163 (0.0019)    0.323  0.408 (0.0081)


          Teff = 3500 K,  log g = 1.0,  [M/H] = -3.0

 bolo   0.370 (0.0880)    0.540  0.256 (0.0156)   -0.015  0.641 (0.0033)
  u     0.668 (0.0042)    0.655 -0.018 (0.0053)    0.695 -0.046 (0.0061)
  v     0.706 (0.0191)    0.653 -0.081 (0.0103)    0.827 -0.201 (0.0140)
  b     0.729 (0.0361)    0.634 -0.143 (0.0141)    0.943 -0.357 (0.0208)
  y     0.718 (0.0250)    0.656 -0.093 (0.0069)    0.857 -0.232 (0.0113)
  U     0.680 (0.0082)    0.655 -0.037 (0.0073)    0.736 -0.093 (0.0089)
  B     0.724 (0.0306)    0.643 -0.122 (0.0122)    0.906 -0.304 (0.0179)
  V     0.708 (0.0187)    0.661 -0.070 (0.0058)    0.813 -0.176 (0.0091)
  R     0.601 (0.0346)    0.674  0.109 (0.0020)    0.438  0.273 (0.0035)
  I     0.490 (0.0728)    0.637  0.221 (0.0083)    0.158  0.553 (0.0030)
  J     0.378 (0.0935)    0.562  0.275 (0.0159)   -0.035  0.689 (0.0029)
  K     0.235 (0.1196)    0.461  0.340 (0.0251)   -0.275  0.849 (0.0088)
  L     0.175 (0.0814)    0.329  0.231 (0.0174)   -0.171  0.578 (0.0063)
  M     0.160 (0.0623)    0.277  0.175 (0.0148)   -0.103  0.438 (0.0065)
  N     0.099 (0.0407)    0.173  0.110 (0.0116)   -0.066  0.275 (0.0064)
  Rc    0.631 (0.0214)    0.676  0.067 (0.0014)    0.530  0.169 (0.0020)
  Ic    0.537 (0.0605)    0.663  0.189 (0.0041)    0.254  0.472 (0.0056)
 230    1.177 (0.1868)    0.736 -0.661 (0.0283)    2.168 -1.653 (0.0598)
 250    0.973 (0.0964)    0.757 -0.325 (0.0073)    1.460 -0.812 (0.0229)
 270    0.824 (0.0402)    0.739 -0.128 (0.0017)    1.016 -0.320 (0.0061)
 290    0.739 (0.0128)    0.713 -0.039 (0.0016)    0.797 -0.096 (0.0012)
 310    0.687 (0.0030)    0.678 -0.012 (0.0015)    0.705 -0.031 (0.0021)
 330    0.658 (0.0029)    0.660  0.003 (0.0023)    0.654  0.007 (0.0022)
 TyB    0.714 (0.0258)    0.644 -0.105 (0.0118)    0.871 -0.263 (0.0167)
 TyV    0.712 (0.0214)    0.658 -0.081 (0.0068)    0.834 -0.203 (0.0107)
 HIP    0.665 (0.0044)    0.667  0.002 (0.0042)    0.663  0.004 (0.0042)
 858    0.493 (0.0747)    0.643  0.226 (0.0086)    0.153  0.566 (0.0030)


          Teff = 3500 K,  log g = 1.5,  [M/H] = -3.0

 bolo   0.312 (0.0989)    0.501  0.283 (0.0197)   -0.113  0.708 (0.0061)
  u     0.694 (0.0149)    0.653 -0.061 (0.0076)    0.786 -0.154 (0.0104)
  v     0.715 (0.0183)    0.668 -0.071 (0.0066)    0.821 -0.177 (0.0100)
  b     0.691 (0.0107)    0.666 -0.038 (0.0023)    0.748 -0.095 (0.0041)
  y     0.629 (0.0246)    0.688  0.089 (0.0055)    0.496  0.221 (0.0098)
  U     0.701 (0.0162)    0.657 -0.065 (0.0075)    0.798 -0.163 (0.0105)
  B     0.691 (0.0078)    0.672 -0.028 (0.0020)    0.733 -0.071 (0.0034)
  V     0.619 (0.0300)    0.689  0.105 (0.0049)    0.461  0.262 (0.0099)
  R     0.496 (0.0814)    0.667  0.257 (0.0041)    0.111  0.642 (0.0106)
  I     0.393 (0.1073)    0.604  0.316 (0.0160)   -0.081  0.791 (0.0039)
  J     0.298 (0.1085)    0.501  0.304 (0.0252)   -0.158  0.761 (0.0105)
  K     0.204 (0.1116)    0.411  0.311 (0.0270)   -0.262  0.776 (0.0121)
  L     0.145 (0.0747)    0.282  0.205 (0.0199)   -0.163  0.513 (0.0101)
  M     0.136 (0.0656)    0.256  0.180 (0.0175)   -0.133  0.449 (0.0090)
  N     0.082 (0.0446)    0.160  0.118 (0.0137)   -0.095  0.295 (0.0080)
  Rc    0.525 (0.0710)    0.678  0.229 (0.0029)    0.181  0.572 (0.0123)
  Ic    0.433 (0.1014)    0.638  0.307 (0.0108)   -0.027  0.767 (0.0067)
 230    1.124 (0.1403)    0.808 -0.474 (0.0108)    1.835 -1.185 (0.0336)
 250    0.929 (0.0628)    0.796 -0.200 (0.0022)    1.229 -0.500 (0.0084)
 270    0.797 (0.0243)    0.745 -0.079 (0.0016)    0.917 -0.199 (0.0032)
 290    0.734 (0.0113)    0.705 -0.043 (0.0032)    0.799 -0.109 (0.0047)
 310    0.704 (0.0123)    0.670 -0.051 (0.0058)    0.781 -0.128 (0.0080)
 330    0.680 (0.0087)    0.654 -0.038 (0.0058)    0.738 -0.096 (0.0075)
 TyB    0.701 (0.0138)    0.667 -0.052 (0.0042)    0.779 -0.129 (0.0066)
