          Teff = 3500 K,  log g = 0.0,  [M/H] = +0.3

 bolo   0.483 (0.0680)    0.607  0.186 (0.0181)    0.205  0.464 (0.0091)
  u     0.658 (0.0997)    0.847  0.284 (0.0201)    0.233  0.709 (0.0065)
  v     0.836 (0.0285)    0.758 -0.117 (0.0340)    1.012 -0.293 (0.0395)
  b     1.103 (0.1148)    0.808 -0.442 (0.0403)    1.766 -1.106 (0.0613)
  y     1.000 (0.0648)    0.828 -0.258 (0.0323)    1.387 -0.644 (0.0447)
  U     0.683 (0.0833)    0.829  0.220 (0.0236)    0.354  0.549 (0.0131)
  B     1.033 (0.0901)    0.794 -0.358 (0.0397)    1.570 -0.896 (0.0567)
  V     0.986 (0.0591)    0.828 -0.237 (0.0319)    1.341 -0.592 (0.0432)
  R     0.833 (0.0246)    0.804 -0.044 (0.0306)    0.899 -0.109 (0.0327)
  I     0.632 (0.0595)    0.723  0.137 (0.0264)    0.427  0.342 (0.0198)
  J     0.487 (0.0586)    0.597  0.165 (0.0146)    0.240  0.412 (0.0070)
  K     0.323 (0.1048)    0.529  0.309 (0.0168)   -0.141  0.772 (0.0019)
  L     0.238 (0.0759)    0.385  0.220 (0.0139)   -0.093  0.551 (0.0033)
  M     0.150 (0.0649)    0.263  0.170 (0.0212)   -0.105  0.425 (0.0131)
  N     0.114 (0.0368)    0.180  0.099 (0.0107)   -0.034  0.247 (0.0060)
  Rc    0.893 (0.0290)    0.820 -0.109 (0.0306)    1.056 -0.272 (0.0358)
  Ic    0.713 (0.0493)    0.774  0.092 (0.0288)    0.575  0.230 (0.0244)
 230    1.001 (0.0006)    1.000 -0.002 (0.0001)    1.003 -0.004 (0.0001)
 250    0.936 (0.0344)    1.016  0.120 (0.0044)    0.756  0.300 (0.0102)
 270    0.830 (0.0816)    1.008  0.266 (0.0014)    0.431  0.665 (0.0139)
 290    0.751 (0.1101)    0.982  0.345 (0.0063)    0.234  0.863 (0.0108)
 310    0.667 (0.1217)    0.909  0.363 (0.0169)    0.122  0.908 (0.0011)
 330    0.639 (0.1122)    0.858  0.329 (0.0188)    0.145  0.822 (0.0029)
 TyB    0.994 (0.0790)    0.781 -0.320 (0.0393)    1.474 -0.800 (0.0544)
 TyV    1.001 (0.0665)    0.824 -0.265 (0.0335)    1.399 -0.663 (0.0462)
 HIP    0.951 (0.0491)    0.818 -0.200 (0.0328)    1.251 -0.499 (0.0424)
 858    0.678 (0.0582)    0.754  0.114 (0.0326)    0.506  0.286 (0.0271)


          Teff = 3500 K,  log g = 0.5,  [M/H] = +0.3

 bolo   0.473 (0.0692)    0.599  0.188 (0.0187)    0.192  0.470 (0.0097)
  u     0.672 (0.0939)    0.846  0.261 (0.0212)    0.280  0.654 (0.0087)
  v     0.865 (0.0341)    0.768 -0.146 (0.0357)    1.084 -0.365 (0.0425)
  b     1.120 (0.1177)    0.818 -0.453 (0.0405)    1.799 -1.133 (0.0619)
  y     1.001 (0.0641)    0.830 -0.256 (0.0327)    1.385 -0.640 (0.0450)
  U     0.706 (0.0739)    0.828  0.184 (0.0251)    0.430  0.459 (0.0164)
  B     1.039 (0.0884)    0.804 -0.353 (0.0396)    1.568 -0.881 (0.0563)
  V     0.986 (0.0590)    0.828 -0.238 (0.0326)    1.342 -0.594 (0.0440)
  R     0.819 (0.0264)    0.793 -0.040 (0.0325)    0.879 -0.100 (0.0344)
  I     0.623 (0.0616)    0.717  0.141 (0.0274)    0.411  0.353 (0.0206)
  J     0.477 (0.0598)    0.587  0.165 (0.0162)    0.229  0.413 (0.0084)
  K     0.321 (0.1034)    0.524  0.304 (0.0167)   -0.136  0.761 (0.0020)
  L     0.235 (0.0734)    0.378  0.213 (0.0133)   -0.084  0.533 (0.0031)
  M     0.143 (0.0636)    0.254  0.166 (0.0210)   -0.106  0.415 (0.0131)
  N     0.110 (0.0359)    0.175  0.096 (0.0104)   -0.034  0.241 (0.0058)
  Rc    0.883 (0.0301)    0.809 -0.112 (0.0327)    1.051 -0.279 (0.0380)
  Ic    0.702 (0.0512)    0.766  0.095 (0.0300)    0.559  0.238 (0.0254)
 230    0.995 (0.0030)    1.002  0.011 (0.0009)    0.978  0.028 (0.0014)
 250    0.920 (0.0428)    1.019  0.148 (0.0050)    0.698  0.371 (0.0121)
 270    0.812 (0.0899)    1.006  0.291 (0.0013)    0.375  0.729 (0.0144)
 290    0.736 (0.1157)    0.976  0.360 (0.0082)    0.196  0.899 (0.0096)
 310    0.663 (0.1223)    0.905  0.363 (0.0182)    0.119  0.907 (0.0010)
 330    0.642 (0.1106)    0.857  0.322 (0.0196)    0.160  0.805 (0.0041)
 TyB    1.006 (0.0783)    0.795 -0.318 (0.0390)    1.483 -0.794 (0.0540)
 TyV    1.001 (0.0661)    0.824 -0.265 (0.0341)    1.399 -0.663 (0.0468)
 HIP    0.950 (0.0499)    0.814 -0.204 (0.0342)    1.257 -0.511 (0.0440)
 858    0.666 (0.0585)    0.737  0.105 (0.0356)    0.509  0.263 (0.0306)


          Teff = 3500 K,  log g = 1.0,  [M/H] = +0.3

 bolo   0.464 (0.0707)    0.592  0.192 (0.0192)    0.176  0.480 (0.0099)
  u     0.692 (0.0859)    0.848  0.233 (0.0217)    0.343  0.583 (0.0106)
